,tweet,is_retweet
52,"RT @VIVImemoriae: So proud of you, so proud of this fc, so proud we won this.
Everyone has a role: donate, vote, take photos, trend....some…",True
53,@P1B_WMichigan @brianefallon No. Not ever. We always know how the 4 liberals will vote.,False
54,"RT @SharnaAisha: NEW ad attacks Joe Biden on trade agreements.

Do Democrats want to win Michigan, Pennsylvania and Wisconsin?

Maybe don't…",True
55,RT @MARCANDERSONNWO: People think Bernie Sanders's campaign is dead in the water and Joe Biden will become the nominee well let me tell you…,True
56,RT @daisymarquez_: DO NOT FORGET TO VOTE!!,True
57,"RT @haina08: owkie self request vote na hahahehe

@mor1019 #MORHot10 Meant To Be by Edward Barber 

#MayWard 
#MaymayEntrata #EdwardBarber",True
58,RT @renato_mariotti: One of the Republican Senator “jurors” who voted not to remove Trump for withholding aid to Ukraine in exchange for an…,True
59,RT @brithume: Schumer’s threats against Gorsuch and Kavanaugh not even playing well among lefty legal scholars.,True
60,RT @olgaNYC1211: Americans want answers from @RonJohnsonWI July 4th Moscow trip. Why shortly after the trip did @RonJohnsonWI want to revie…,True
61,"RT @Joshua4Congress: If you live in Washington, you NEED to vote for Bernie! HERE'S WHY⬇️

In WA, you need 15% or more to get delegates. De…",True
62,RT @SheaSerrano: this is in a historically black neighborhood — i live in a historically white neighborhood (in san antonio) and it took ma…,True
63,Well maybe if there were good women voting...,False
64,Sidnaaz,False
65,"RT @soledadobrien: Or, ya know, serve your constituents and work to make voting easier by creating a national holiday, opening more polling…",True
66,"RT @lamplight22: @AlissaVierra @lmorihouse @forevertawl #DNCRigging in CA.

https://t.co/gm9A9j0Z3B",True
67,RT @neeratanden: Ending the practice of separating children from their families at the border should literally motive every so-called progr…,True
68,"RT @ScottTParkinson: Possibly the biggest mistake of Schumer’s career in public office.

This is not a gaffe; Schumer meant to threaten Gor…",True
69,"I'll vote #BlueNoMatterWho, but aside from not being Trump, the only good thing about Biden as prez is safer Suprem… https://t.co/A56mOnMvXJ",False
